164,i will pick you up at the bus stop,i will pick you up on the CD disk,1,0
165,we had lunch together on March 33rd,we had lunch together on March 31st,0,1
167,the dog sits there without even a woof,the dog sits there without even a mew,1,0
169,she rides a bike to work,she rides a chair to work,1,0
170,he writes his homework on the dew,he writes his homework on the notebook,0,1
171,a rabbit likes eating meat,a rabbit likes eating carrots,0,1
172,the lake will be frozen in winter,the lake will be frozen in summer,1,0
173,she washes her computer with warm water,she washes her clothes with warm water,0,1
174,i cut a piece of cloth with chopsticks,i cut a piece of cloth with scissors,0,1
175,Mary adds some detergent to her bread,Mary adds some butter to her bread,0,1
176,i am preparing for the trip tomorrow,i am preparing for the trip yesterday,1,0
178,i drink coke with a chopstick,i drink coke with a straw,0,1
180,she takes attractive selfies with her smartphone,she takes attractive selfies with her headphone,1,0
181,i buy a boyfriend for my sister,i buy a ring for my sister,0,1
182,His father got angry because he failed the math exam,His father got excited because he failed the math exam,1,0
183,I go to the museum to see paintings painted by famous artists,I go to the museum to get my clothes cleaned,1,0
184,Bob bought chocolate for his enemy on Valentine's Day,Bob bought chocolate for his girl friend on Valentine's Day,0,1
185,French fries are made of potatoes,French fries are made of oranges,1,0
186,Mars is the most suitable homeland for human beings,Earth is the most suitable homeland for human beings,0,1
189,Alice is running on a playground,Alice is running on the sea,1,0
190,Bob looks painful because he hurts his fingers,Bob looks delightful because he hurts his fingers,1,0
191,Maria coughs when she breathes in fresh air,Maria coughs when she breathes in haze,0,1
192,African lions enjoy eating grass,African lions enjoy eating meat,0,1
193,I graduated from college at the age of 22,I graduated from college at the age of 3,1,0
194,Bears stay in caves during hibernation,Bears stay underwater during hibernation,1,0
195,Alice go to the bathroom for repletion,Alice go to the bathroom for excretion,0,1
197,Dogs can feed blood to their young ones,Dogs can feed milk to their young ones,0,1
198,Frank goes to the bank to save people,Frank goes to the bank to save money,0,1
200,Kids fly kites in a windless day,Kids fly kites in a windy day,0,1
201,People get together to celebrate on Christmas Eve,People get together to fight on Christmas Eve,1,0
202,Jason put a tea bag into his cup to make a cup of coffee,Jason put a tea bag into his cup to make a cup of tea,0,1
203,Harry feels grieved seeing his old friends,Harry feels pleased seeing his old friends,0,1
204,Gloria determines to lose weight so she eats less,Gloria determines to lose weight so she eats more,1,0
205,"Saying ""Goodbye"", he walked out of the classroom and went home","Saying ""Hello"", he walked out of the classroom and went home",1,0
206,Danis put his clothes into the washing machine,Danis put his smartphone into the washing machine,1,0
207,Billy rides a horse to cross the bridge,Billy rides an ant to cross the bridge,1,0
209,George put a broom in his mouth to brush teeth,George put a toothbrush in his mouth to brush teeth,0,1
210,I closed my mouth against the bright light,I closed my eyes against the bright light,0,1
211,My heart beats slower when I quicken my pace,My heart beats faster when I quicken my pace,0,1
212,Bob plays basketball with his cute dog,Bob plays frisbee with his cute dog,0,1
215,Eric told a lie and his mother praised him,Eric told a lie and his mother scolded him,0,1
216,Henry flew to the USA sitting in a car,Henry flew to the USA sitting in an airplane,0,1
220,"When you smile at others, they will smile at you","When you smile at others, they will cry to you",1,0
222,Jenny ordered a hot dog in a pet store,Jenny ordered a hot dog in a restaurant,0,1
224,The man in black cured him with a bullet,The man in black killed him with a bullet,0,1
226,Elisa was terrified bitten by a snake,Elisa was terrified bitten by a book,1,0
227,"In the dark, I turn on the light to read a book","In the dark, I turn off the light to read a book",1,0
228,Atlantic is the biggest continent in the world,Asia is the biggest continent in the world,0,1
230,Riko drops a steel cup from the desk and the cup breaks into pieces,Riko drops a glass cup from the desk and the cup breaks into pieces,0,1
231,Human will starve to death without eating,Human will get eventually out of power if they are unplugged,1,0
232,She decided to eat more healthy foods like hamburgers,She decided to eat more healthy foods like vegetables,0,1
233,Max stays close to the campfire to keep warm,Max stays close to the campfire to keep cool,1,0
237,Gloria wears a hat on her head,Gloria wears a cat on her head,1,0
238,Harry went to the barbershop to have his hair cut,Harry went to the barbershop to have his glasses repaired,1,0
239,Reilly is sleeping on the couch,Reilly is sleeping on the window,1,0
242,Mark called his friends with his telephone,Mark called his friends with his pencil,1,0
243,My friend is cooking a meal on a stove,My friend is cooking a meal on a stone,1,0
244,Riko made a cup of banana milkshake with apples and milk,Riko made a cup of banana milkshake with bananas and milk,0,1
245,My mother was preparing breakfast when I woke up in the morning,My mother was preparing dinner when I woke up in the morning,1,0
247,My mother went to a dentist to check her teeth,My mother went to an artist to check her teeth,1,0
248,Mike cried after hearing an interesting joke,Mike laughed after hearing an interesting joke,0,1
249,She sharpened the pencil with a knife,She sharpened the pencil with an eraser,1,0
252,Harry was terrified because of the nightmare,Harry was relaxed because of the nightmare,1,0
253,Astrid kissed him out of pure love,Astrid kissed him out of pure hatred,1,0
254,His son took the school bus to go to school,His son took the school bus to go to work,1,0
257,He saw a car floating at sea,He saw a ship floating at sea,0,1
258,People can buy apples at a fruit shop,People can buy potatoes at a fruit shop,1,0
260,My daughter needs bra after growing up,My son needs bra after growing up,1,0
262,If you feel cool you may sweat,If you feel hot you may sweat,0,1
263,I go to school for playing the computer game,I go to school for learning,0,1
264,I slipped on a rock,I slipped on a banana peel,0,1
265,I study five days a week,I study eight days a week,1,0
268,I see a cripple running,I see a man running,0,1
269,I saw an egg walk on the road,I saw a chick walk on the road,0,1
271,I go to school with a laptop,I go to school with a desktop computer,1,0
272,now I plan to sleep so I take a coffee,now I plan to sleep so I go to bed,0,1
273,I travel to the united states by plane,I travel to the united states by rocket,1,0
276,I like swimming in the river,I like swimming in the hole,1,0
277,I want world peace,I want world war,1,0
278,a snowman will exist forever,a snowman won't exist forever,0,1
281,teachers can help you do homework,flowers can help you do homework,1,0
282,we should eat more sugar to protect teeth,we should eat less sugar to protect teeth,0,1
285,we can skate on snow,we can skate on the ice,0,1
286,we can eat dirt,we can't eat dirt,0,1
288,if we are going to be late we should walk,if we are going to be late we should run,0,1
289,you can go to the moon by rocket,you can go to the moon by subway,1,0
290,I see a boy playing a computer,I see a dog playing a computer,1,0
292,milk is made by chicken,milk is made by cow,0,1
299,Cancer is a disease,Cancer can bring happiness to us,1,0
300,people can feel pain,people can only feel happiness,1,0
301,Fish can live in a land without water,Fish need water to live,0,1
302,Computers can eat food,Computers are powered by electricity,0,1
303,Everyone lives in the country,Some people live in the country,0,1
305,If you want to dig a hole then you should use a shovel,If you want to dig a hole then you should use the spoon,1,0
306,Soldiers will be punished for bravery,Soldiers can get medals for bravery,0,1
307,Families shouldn't visit relatives during the holidays,Families should visit relatives during the workdays,1,0
308,I can hold up a car,I can hold up a can of soda,0,1
312,a Cord can be used for treatment,a Cord can be used for tying things together,0,1
313,You can take an airplane to visit England,You can take your airplane to visit Mars,1,0
314,A bus takes passengers from a bus stop,A bus takes passengers from the sea,1,0
315,Ireland is a country,Ireland is a planet,1,0
316,A person doesn't want moldy bread,A person want moldy bread,1,nan
